,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,002714.SZ,20200918,74.0,76.15,73.81,75.3,74.09,1.2099999999999937,1.6331,228952.8,1720045.059,12.96
1,002714.SZ,20200917,75.0,75.13,72.61,74.09,75.45,-1.3599999999999994,-1.8025,295685.16,2178983.09,12.96
2,002714.SZ,20200916,78.19,78.55,72.79,75.45,78.71,-3.259999999999991,-4.1418,446313.81,3364636.231,12.96
3,002714.SZ,20200915,78.2,78.89,77.07,78.71,78.13,0.5799999999999983,0.7424,147572.15,1153294.877,12.96
4,002714.SZ,20200914,79.49,80.79,77.34,78.13,78.31,-0.18000000000000682,-0.2299,220759.33,1738437.004,12.96
5,002714.SZ,20200911,80.0,80.45,77.49,78.31,79.2,-0.8900000000000006,-1.1237,211024.63,1655431.032,12.96
6,002714.SZ,20200917,75.0,75.13,72.61,74.09,75.45,-1.3599999999999994,-1.8,295685.16,2178983.09,12.96
7,002714.SZ,20200916,78.19,78.55,72.79,75.45,78.71,-3.259999999999991,-4.14,446313.81,3364636.231,12.96
8,002714.SZ,20200915,78.2,78.89,77.07,78.71,78.13,0.5799999999999983,0.74,147572.15,1153294.877,12.96
9,002714.SZ,20200914,79.49,80.79,77.34,78.13,78.31,-0.18000000000000682,-0.23,220759.33,1738437.004,12.96
10,002714.SZ,20200911,80.0,80.45,77.49,78.31,79.2,-0.8900000000000006,-1.12,211024.63,1655431.032,12.96
11,002714.SZ,20200910,81.0,81.66,78.81,79.2,79.4,-0.20000000000000284,-0.25,184060.54,1475235.894,12.96
12,002714.SZ,20200909,81.9,81.9,79.09,79.4,82.78,-3.3799999999999955,-4.08,261779.83,2096835.131,12.96
13,002714.SZ,20200908,82.82,83.65,81.09,82.78,82.82,-0.039999999999992035,-0.05,278061.71,2283468.466,12.96
14,002714.SZ,20200907,87.0,87.99,82.0,82.82,87.45,-4.63000000000001,-5.29,403601.91,3409856.662,12.96
15,002714.SZ,20200904,86.51,87.86,86.0,87.45,88.03,-0.5799999999999983,-0.66,181562.22,1580941.517,12.96
16,002714.SZ,20200903,89.2,89.2,87.43,88.03,89.29,-1.2600000000000051,-1.41,254187.72,2236557.988,12.96
17,002714.SZ,20200902,89.31,93.0,89.0,89.29,88.92,0.37000000000000455,0.42,389369.72,3539877.028,12.96
18,002714.SZ,20200901,87.7,88.96,87.2,88.92,87.8,1.1200000000000043,1.28,181385.07,1598337.699,12.96
19,002714.SZ,20200831,87.58,88.77,85.47,87.8,89.73,-1.9300000000000068,-2.15,356556.71,3111943.874,12.96
20,002714.SZ,20200828,88.6,89.97,88.37,89.73,88.6,1.1300000000000097,1.28,207442.93,1852130.164,12.96
21,002714.SZ,20200827,89.15,89.15,87.65,88.6,89.2,-0.6000000000000085,-0.67,147642.82,1304413.146,12.96
22,002714.SZ,20200826,90.98,91.3,88.5,89.2,90.2,-1.0,-1.11,197602.48,1766293.169,12.96
23,002714.SZ,20200825,91.01,91.33,90.09,90.2,90.69,-0.4899999999999949,-0.54,132415.3,1198877.072,12.96
24,002714.SZ,20200824,90.52,91.75,90.29,90.69,89.74,0.9500000000000028,1.06,240931.6,2195528.97,12.96
25,002714.SZ,20200821,90.13,90.48,89.05,89.74,89.81,-0.07000000000000739,-0.08,177745.61,1596048.791,12.96
26,002714.SZ,20200820,89.55,90.49,88.03,89.81,89.6,0.210000000000008,0.23,162950.26,1456059.756,12.96
27,002714.SZ,20200819,91.3,91.6,89.58,89.6,91.17,-1.5700000000000074,-1.72,234537.81,2118384.1,12.96
28,002714.SZ,20200818,91.99,92.39,91.0,91.17,91.71,-0.539999999999992,-0.59,257370.37,2353193.819,12.96
29,002714.SZ,20200817,92.27,93.38,91.25,91.71,92.28,-0.5700000000000074,-0.62,255943.8,2351628.972,12.96
30,002714.SZ,20200814,92.02,92.86,90.8,92.28,92.0,0.28000000000000114,0.3,155881.73,1430110.534,12.96
31,002714.SZ,20200813,92.8,94.66,91.72,92.0,92.7,-0.7000000000000028,-0.76,223446.56,2079365.873,12.96
32,002714.SZ,20200812,94.13,94.78,90.3,92.7,93.93,-1.2300000000000042,-1.31,280454.75,2572281.286,12.96
33,002714.SZ,20200811,91.5,96.86,91.5,93.93,91.75,2.180000000000007,2.38,446734.96,4244501.727,12.96
34,002714.SZ,20200810,90.61,91.75,89.61,91.75,90.82,0.9300000000000068,1.02,225944.47,2053132.667,12.96
35,002714.SZ,20200807,91.88,93.18,89.58,90.82,93.0,-2.180000000000007,-2.34,322754.29,2929792.091,12.96
36,002714.SZ,20200806,96.1,96.95,92.22,93.0,94.7,-1.7000000000000028,-1.8,411973.26,3900370.08,12.96
37,002714.SZ,20200805,93.9,95.0,92.27,94.7,93.09,1.6099999999999994,1.73,324573.62,3059912.1,12.96
38,002714.SZ,20200804,92.7,94.5,92.21,93.09,93.42,-0.3299999999999983,-0.35,219403.57,2046320.362,12.96
39,002714.SZ,20200803,92.0,95.55,91.98,93.42,91.48,1.9399999999999973,2.12,341596.72,3198467.203,12.96
40,002714.SZ,20200731,91.04,92.34,89.5,91.48,91.04,0.4399999999999977,0.48,225713.68,2055860.629,12.96
41,002714.SZ,20200730,90.89,92.88,90.39,91.04,91.1,-0.05999999999998806,-0.07,280255.52,2569780.885,12.96
42,002714.SZ,20200729,90.24,91.19,88.5,91.1,90.24,0.8599999999999994,0.95,286141.39,2583462.977,12.96
43,002714.SZ,20200728,88.21,90.79,87.8,90.24,87.16,3.0799999999999983,3.53,327523.54,2936424.167,12.96
44,002714.SZ,20200727,91.0,91.98,86.19,87.16,89.25,-2.0900000000000034,-2.34,329534.95,2914717.594,12.96
45,002714.SZ,20200724,91.8,94.6,87.5,89.25,92.01,-2.7600000000000047,-3.0,516489.33,4721790.523,12.96
46,002714.SZ,20200723,92.95,93.95,90.15,92.01,93.52,-1.5099999999999911,-1.61,357628.57,3278140.646,12.96
47,002714.SZ,20200722,94.9,95.94,93.21,93.52,95.57,-2.0499999999999967,-2.15,441306.05,4161348.347,12.96
48,002714.SZ,20200721,97.4,97.44,93.18,95.57,96.98,-1.4100000000000108,-1.45,305720.28,2909346.35,12.96
49,002714.SZ,20200720,96.0,99.0,95.0,96.98,94.48,2.5,2.65,395520.84,3836873.362,12.96
