,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,sma25,sma100,sma_score,sma_signal
0,600519.SH,20201022,1730.0,1745.0,1715.51,1742.5,1733.33,9.170000000000073,0.529,22480.87,3897729.793,7.404,,,0,
1,600519.SH,20201021,1734.1,1742.15,1723.0,1733.33,1734.0,-0.6700000000000728,-0.0386,18901.37,3275357.44,7.404,,,0,0.0
2,600519.SH,20201020,1699.99,1734.97,1695.0,1734.0,1699.0,35.0,2.06,27734.93,4787807.536,7.404,,,0,0.0
3,600519.SH,20201019,1725.0,1733.98,1691.9,1699.0,1712.0,-13.0,-0.7593,19226.32,3284383.415,7.404,,,0,0.0
4,600519.SH,20201016,1725.0,1734.58,1703.0,1712.0,1725.0,-13.0,-0.7536,17377.38,2991246.892,7.404,,,0,0.0
5,600519.SH,20201015,1721.13,1735.0,1721.0,1725.0,1729.0,-4.0,-0.2313,16204.36,2801250.5560000003,7.404,,,0,0.0
6,600519.SH,20200930,1660.0,1691.9,1660.0,1668.5,1652.3,16.200000000000045,0.9805,27087.81,4536012.54,7.404,,,0,0.0
7,600519.SH,20200929,1669.33,1669.4,1652.3,1652.3,1661.0,-8.700000000000045,-0.5238,17430.78,2895081.366000001,7.404,,,0,0.0
8,600519.SH,20200928,1635.19,1668.5,1635.19,1661.0,1635.11,25.8900000000001,1.5834,24232.22,4019640.15,7.404,,,0,0.0
9,600519.SH,20200925,1630.0,1650.0,1625.0,1635.11,1629.32,5.7899999999999645,0.3554,22582.96,3700843.486,7.404,,,0,0.0
10,600519.SH,20200924,1635.97,1658.88,1626.8,1629.32,1649.98,-20.66000000000008,-1.2521,30050.78,4915392.273,7.404,,,0,0.0
11,600519.SH,20200923,1635.0,1666.01,1621.02,1649.98,1665.69,-15.710000000000036,-0.9432,35725.52,5878691.069,7.404,,,0,0.0
12,600519.SH,20200922,1650.0,1686.98,1650.0,1665.69,1666.8,-1.1099999999999,-0.0666,23265.47,3890070.212,7.404,,,0,0.0
13,600519.SH,20200921,1692.76,1692.76,1666.66,1666.8,1695.0,-28.200000000000053,-1.6637,22444.07,3756765.108,7.404,,,0,0.0
14,600519.SH,20200918,1665.0,1695.0,1635.01,1695.0,1670.52,24.48000000000001,1.4654,47201.4,7853673.241,7.404,,,0,0.0
