,ts_code,net_flow,net_flow_std,rank,change,ma_crossover,score,,,现在,1，2月
35,600048.SH,11332108.61,2.114680206,7.30726257,115.0448,48,42.3560281,fair,保利地产,跌,先跌后涨
55,600690.SH,14569685.45,2.300965827,6.815533981,107.9089,66,41.23246069,bad,海尔智家,跌,跌
2,601901.SH,148376119.5,10,5.175438596,25.0311,93,40.33424228,bad,方正证券,跌,跌
34,601668.SH,5895574.864,1.801869694,6.121212121,96.481,76,36.64566666,bad,中国建筑,跌,跌
33,600585.SH,38366895.21,3.670223833,6.14,78.1844,53,36.2979915,good,海螺水泥,跌,先跌后涨
10,600031.SH,23664656.67,2.824277689,6.869918699,85.7161,65,36.11367933,good,三一重工,跌,涨
21,600029.SH,137660463.4,9.383436208,8.714285714,13.7442,73,33.99071148,bad,南方航空,跌,跌
4,603993.SH,130373498.1,8.964154464,7.1,14.0692,90,33.49322339,good,洛阳钼业,跌,先涨后跌
42,600050.SH,18889537.01,2.549524015,7.37037037,76.5185,80,32.73004797,bad,中国联通,跌,先涨后跌
23,601888.SH,8564653.77,1.955444743,6.696666667,80.6275,53,31.7752509,bad,中国中免,跌,跌
1,600104.SH,22764789.13,2.772500576,6.37254902,69.4551,46,30.79952192,bad,上汽集团,涨,先跌后涨
3,600309.SH,18934673.12,2.552121083,7.647058824,69.741,48,30.00925149,bad,万华化学,涨,跌
13,600036.SH,59384848.71,4.879567341,4.95,37.3144,73,28.30302202,bad,招商银行,跌,跌
41,600030.SH,5673382.757,1.789085072,6.24,57.8314,71,24.88867522,fair,中信证券,跌,先跌后涨
39,601138.SH,57066193.58,4.746155183,7,30.8377,26,24.60977555,good,工业富联,跌,涨
56,600019.SH,19175722.48,2.565990725,6.655172414,48.5633,78,24.49592769,bad,宝钢股份,跌,跌
0,600519.SH,2392611.043,1.600314079,1.516666667,55.5226,42,23.9943889,bad,贵州茅台,跌,跌
9,600183.SH,-11710208.16,0.788857681,6.368421053,65.4575,54,23.81013883,good,生益科技,跌,涨
31,600741.SH,23160434.56,2.795265458,7.441176471,43.879,45,22.96126108,good,华域汽车,涨,涨
32,601318.SH,33294926.42,3.378389877,1.956666667,25.93,68,20.8828363,bad,中国平安,跌,跌
