,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,600276.SH,20201022,89.54,89.56,88.5,89.56,89.58,-0.01999999999999602,-0.0223,161529.15,1438790.907,53.355
1,600276.SH,20201021,91.02,91.2,89.01,89.58,91.01,-1.4300000000000068,-1.5713,288335.96,2585180.269,53.355
2,600276.SH,20201020,91.39,91.52,89.66,91.01,91.52,-0.5099999999999909,-0.5573,222966.71,2021368.413,53.355
3,600276.SH,20201019,93.68,94.0,91.11,91.52,93.1,-1.5799999999999983,-1.6971,207159.34,1913343.152,53.355
4,600276.SH,20201016,93.96,94.2,92.12,93.1,93.16,-0.060000000000002274,-0.0644,176502.17,1643256.678,53.355
5,600276.SH,20201015,93.0,93.65,92.56,93.16,93.0,0.1599999999999966,0.172,178034.79,1658769.73,53.355
6,600276.SH,20200930,90.39,91.98,89.5,89.82,89.89,-0.07000000000000739,-0.0779,234315.95,2128600.261,53.355
7,600276.SH,20200929,89.28,90.4,88.9,89.89,88.58,1.3100000000000025,1.4789,177814.46,1597437.968,53.355
8,600276.SH,20200928,88.49,89.57,88.11,88.58,88.45,0.12999999999999545,0.147,145684.91,1293975.166,53.355
9,600276.SH,20200925,88.3,88.62,87.35,88.45,87.86,0.5900000000000034,0.6715,141112.75,1241797.264,53.355
10,600276.SH,20200924,89.55,89.55,87.3,87.86,89.84,-1.9800000000000042,-2.2039,173027.34,1524073.59,53.355
11,600276.SH,20200923,89.45,90.5,88.85,89.84,89.3,0.5400000000000063,0.6047,155194.78,1395971.894,53.355
12,600276.SH,20200922,88.0,90.1,87.99,89.3,88.5,0.7999999999999972,0.904,204940.47,1833962.325,53.355
13,600276.SH,20200921,88.8,89.46,87.75,88.5,88.98,-0.4800000000000039,-0.5394,168298.13,1492692.2240000002,53.355
14,600276.SH,20200918,86.4,88.98,86.22,88.98,86.29,2.6899999999999977,3.1174,297717.27,2604300.144,53.355
15,600276.SH,20200917,89.08,89.64,86.0,86.29,89.74,-3.4499999999999886,-3.8444,423045.12,3676808.557,53.355
16,600276.SH,20200916,91.4,91.9,89.6,89.74,91.1,-1.3599999999999994,-1.4929,195171.28,1759609.1509999998,53.355
17,600276.SH,20200915,91.3,91.33,90.02,91.1,91.36,-0.2600000000000051,-0.2846,148881.31,1351095.8290000001,53.355
18,600276.SH,20200914,92.1,92.38,91.32,91.36,91.81,-0.4500000000000029,-0.4901,154824.17,1422039.4619999998,53.355
19,600276.SH,20200911,89.6,92.26,89.6,91.81,90.74,1.0700000000000074,1.1792,183389.84,1671006.199,53.355
20,600276.SH,20200910,91.5,91.96,90.31,90.74,90.3,0.4399999999999977,0.4873,162648.43,1482657.2480000001,53.355
21,600276.SH,20200909,91.54,92.07,89.5,90.3,92.33,-2.0300000000000007,-2.1986,210802.86,1913411.105,53.355
22,600276.SH,20200908,91.62,92.89,91.2,92.33,91.6,0.730000000000004,0.7969,205175.84,1891551.0980000002,53.355
23,600276.SH,20200907,93.0,93.79,91.5,91.6,93.51,-1.9100000000000108,-2.0426,233965.58,2161112.125,53.355
24,600276.SH,20200904,93.88,94.3,92.37,93.51,95.0,-1.4899999999999949,-1.5684,254464.52,2370058.028,53.355
25,600276.SH,20200903,94.7,95.88,93.88,95.0,94.7,0.2999999999999972,0.3168,196908.13,1871630.2119999998,53.355
26,600276.SH,20200902,95.0,95.0,92.61,94.7,93.99,0.7100000000000078,0.7554,273407.26,2571096.454,53.355
27,600276.SH,20200901,94.49,95.55,93.34,93.99,94.87,-0.8800000000000097,-0.9276,209669.34,1973872.645,53.355
28,600276.SH,20200831,95.8,96.55,94.71,94.87,95.39,-0.519999999999996,-0.5451,272986.21,2617730.528,53.355
29,600276.SH,20200828,93.3,95.5,92.91,95.39,94.11,1.2800000000000011,1.3601,281548.1,2663680.871,53.355
30,600276.SH,20200827,94.58,94.88,92.59,94.11,94.58,-0.4699999999999989,-0.4969,213099.61,1994485.346,53.355
31,600276.SH,20200826,94.03,95.94,93.7,94.58,93.99,0.5900000000000034,0.6277,268722.96,2551454.995,53.355
32,600276.SH,20200825,92.99,94.65,92.8,93.99,92.42,1.5699999999999932,1.6988,249792.23,2347765.539,53.355
33,600276.SH,20200824,92.98,93.0,91.65,92.42,91.8,0.6200000000000045,0.6754,177433.32,1641506.9740000002,53.355
34,600276.SH,20200821,93.09,93.65,90.8,91.8,91.7,0.09999999999999433,0.1091,205668.9,1892059.476,53.355
35,600276.SH,20200820,92.73,93.34,91.2,91.7,92.73,-1.0300000000000011,-1.1108,203114.18,1869239.761,53.355
36,600276.SH,20200819,93.8,94.86,92.52,92.73,93.4,-0.6700000000000017,-0.7173,327703.93,3077103.7860000003,53.355
37,600276.SH,20200818,91.2,94.66,91.2,93.4,90.9,2.5,2.7503,449290.68,4198792.291999999,53.355
38,600276.SH,20200817,89.98,91.49,89.18,90.9,89.5,1.4000000000000057,1.5642,343676.79,3104127.44,53.355
39,600276.SH,20200814,88.98,89.8,87.97,89.5,88.88,0.6200000000000045,0.6976,242375.05,2154357.3,53.355
40,600276.SH,20200813,90.93,90.93,88.8,88.88,90.01,-1.1300000000000097,-1.2554,263858.12,2357707.889,53.355
