,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,002958.SZ,20200915,5.23,5.38,5.18,5.29,5.29,0.0,0.0,525566.71,277263.514,1.055
1,002958.SZ,20200914,5.17,5.42,5.12,5.29,5.17,0.1200000000000001,2.32,750506.95,395082.15,1.055
2,002958.SZ,20200911,5.23,5.23,5.13,5.17,5.24,-0.07000000000000028,-1.34,416644.64,215623.327,1.055
3,002958.SZ,20200910,5.2,5.32,5.15,5.24,5.16,0.08000000000000007,1.55,768456.64,401656.647,1.055
4,002958.SZ,20200909,5.13,5.21,5.13,5.16,5.18,-0.019999999999999574,-0.39,424051.86,219428.142,1.055
5,002958.SZ,20200908,5.12,5.22,5.11,5.18,5.13,0.04999999999999982,0.97,433600.59,224268.887,1.055
6,002958.SZ,20200907,5.2,5.24,5.12,5.13,5.24,-0.11000000000000032,-2.1,418192.72,216488.953,1.055
7,002958.SZ,20200904,5.12,5.33,5.09,5.24,5.18,0.0600000000000005,1.16,539201.61,279078.599,1.055
8,002958.SZ,20200903,5.26,5.29,5.18,5.18,5.24,-0.0600000000000005,-1.15,383470.36,200558.467,1.055
9,002958.SZ,20200902,5.31,5.32,5.21,5.24,5.29,-0.04999999999999982,-0.95,382416.24,200819.604,1.055
10,002958.SZ,20200901,5.31,5.34,5.26,5.29,5.34,-0.04999999999999982,-0.94,348894.81,184749.484,1.055
11,002958.SZ,20200831,5.38,5.45,5.32,5.34,5.39,-0.04999999999999982,-0.93,516320.13,278486.666,1.055
12,002958.SZ,20200828,5.29,5.43,5.27,5.39,5.32,0.0699999999999994,1.32,536599.75,287735.661,1.055
13,002958.SZ,20200827,5.4,5.41,5.28,5.32,5.39,-0.0699999999999994,-1.3,468496.32,249429.536,1.055
14,002958.SZ,20200826,5.49,5.51,5.37,5.39,5.51,-0.1200000000000001,-2.18,489688.08,265871.742,1.055
15,002958.SZ,20200825,5.55,5.6,5.49,5.51,5.63,-0.1200000000000001,-2.13,666912.93,369095.01,1.055
16,002958.SZ,20200824,5.71,5.72,5.6,5.63,5.69,-0.0600000000000005,-1.05,524594.73,295832.77,1.055
17,002958.SZ,20200821,5.7,5.77,5.62,5.69,5.68,0.010000000000000675,0.18,566537.75,322179.779,1.055
18,002958.SZ,20200820,5.71,5.78,5.63,5.68,5.73,-0.05000000000000071,-0.87,563837.33,321746.263,1.055
19,002958.SZ,20200819,5.84,5.89,5.72,5.73,5.89,-0.15999999999999925,-2.72,790997.11,460802.438,1.055
20,002958.SZ,20200818,5.89,5.92,5.82,5.89,5.98,-0.09000000000000075,-1.51,1018625.41,597033.129,1.055
21,002958.SZ,20200817,5.75,6.09,5.75,5.98,5.73,0.25,4.36,1924045.33,1142155.397,1.055
