,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,600837.SH,20200915,14.26,14.44,14.25,14.3,14.32,-0.019999999999999574,-0.14,339639.81,485832.116,22.51
1,600837.SH,20200914,14.38,14.39,14.2,14.32,14.32,0.0,0.0,335290.21,479216.376,22.51
2,600837.SH,20200911,14.24,14.37,14.1,14.32,14.26,0.0600000000000005,0.42,382987.49,546043.729,22.51
3,600837.SH,20200910,14.6,14.68,14.25,14.26,14.49,-0.23000000000000043,-1.59,677479.96,977150.451,22.51
4,600837.SH,20200909,14.61,14.75,14.4,14.49,14.8,-0.3100000000000005,-2.09,609667.49,887201.137,22.51
5,600837.SH,20200908,14.45,14.93,14.38,14.8,14.33,0.47000000000000064,3.28,756392.86,1110465.685,22.51
6,600837.SH,20200907,14.65,14.77,14.33,14.33,14.67,-0.33999999999999986,-2.32,578299.25,842927.941,22.51
7,600837.SH,20200904,14.53,14.78,14.53,14.67,14.84,-0.16999999999999993,-1.15,489596.91,717754.231,22.51
8,600837.SH,20200903,14.96,15.12,14.79,14.84,14.95,-0.10999999999999943,-0.74,526602.71,785836.407,22.51
9,600837.SH,20200902,15.18,15.22,14.8,14.95,15.17,-0.22000000000000064,-1.45,701063.16,1051645.504,22.51
10,600837.SH,20200901,15.09,15.23,14.98,15.17,15.17,0.0,0.0,551656.36,833520.369,22.51
11,600837.SH,20200831,15.2,15.59,15.04,15.17,15.16,0.009999999999999787,0.07,1084567.05,1666410.2,22.51
12,600837.SH,20200828,14.7,15.23,14.63,15.16,14.7,0.46000000000000085,3.13,805468.4,1205230.494,22.51
13,600837.SH,20200827,14.66,14.81,14.58,14.7,14.64,0.05999999999999872,0.41,503037.78,739093.152,22.51
14,600837.SH,20200826,15.05,15.26,14.64,14.64,15.08,-0.4399999999999995,-2.92,902106.08,1343438.576,22.51
15,600837.SH,20200825,15.28,15.42,15.06,15.08,15.2,-0.11999999999999922,-0.79,641691.71,975911.218,22.51
16,600837.SH,20200824,15.32,15.43,15.18,15.2,15.32,-0.120000000000001,-0.78,589279.42,902265.31,22.51
17,600837.SH,20200821,15.11,15.34,15.05,15.32,14.98,0.33999999999999986,2.27,807490.13,1224987.28,22.51
18,600837.SH,20200820,15.05,15.16,14.9,14.98,15.16,-0.17999999999999972,-1.19,782155.81,1173703.26,22.51
19,600837.SH,20200819,15.6,15.68,15.15,15.16,15.61,-0.4499999999999993,-2.88,1178248.3,1811275.297,22.51
20,600837.SH,20200818,15.82,15.88,15.51,15.61,15.8,-0.19000000000000128,-1.2,1283228.56,2011449.619,22.51
21,600837.SH,20200817,15.59,16.49,15.43,15.8,15.39,0.41000000000000014,2.66,2741102.33,4361845.241,22.51
