,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,300124.SZ,20200918,55.17,56.21,54.41,55.45,55.36,0.09000000000000341,0.1626,105418.88,584317.11,16.152
1,300124.SZ,20200917,53.18,55.9,52.68,55.36,53.2,2.1599999999999966,4.0602,117228.34,639883.723,16.152
2,300124.SZ,20200916,54.99,54.99,52.57,53.2,53.79,-0.5899999999999963,-1.0969,81072.04,433125.15,16.152
3,300124.SZ,20200915,52.42,54.29,52.11,53.79,52.01,1.7800000000000011,3.4224,113324.9,605141.442,16.152
4,300124.SZ,20200914,52.98,53.28,51.5,52.01,52.27,-0.2600000000000051,-0.4974,126007.66,656763.491,16.152
5,300124.SZ,20200911,50.78,52.61,50.47,52.27,51.5,0.7700000000000031,1.4951,116883.46,605036.688,16.152
6,300124.SZ,20200917,53.18,55.9,52.68,55.36,53.2,2.1599999999999966,4.06,117228.34,639883.723,16.152
7,300124.SZ,20200916,54.99,54.99,52.57,53.2,53.79,-0.5899999999999963,-1.1,81072.04,433125.15,16.152
8,300124.SZ,20200915,52.42,54.29,52.11,53.79,52.01,1.7800000000000011,3.42,113324.9,605141.442,16.152
9,300124.SZ,20200914,52.98,53.28,51.5,52.01,52.27,-0.2600000000000051,-0.5,126007.66,656763.491,16.152
10,300124.SZ,20200911,50.78,52.61,50.47,52.27,51.5,0.7700000000000031,1.5,116883.46,605036.688,16.152
11,300124.SZ,20200910,52.39,53.13,51.15,51.5,51.69,-0.18999999999999773,-0.37,99367.12,518522.07200000004,16.152
12,300124.SZ,20200909,53.47,53.95,51.0,51.69,53.37,-1.6799999999999995,-3.15,115789.56,604072.552,16.152
13,300124.SZ,20200908,53.51,54.19,52.03,53.37,53.89,-0.5200000000000031,-0.96,109832.87,584288.083,16.152
14,300124.SZ,20200907,54.93,55.5,53.0,53.89,54.93,-1.0399999999999991,-1.89,116445.84,630872.939,16.152
15,300124.SZ,20200904,54.18,55.32,53.21,54.93,54.76,0.1700000000000017,0.31,99898.95,544162.53,16.152
16,300124.SZ,20200903,56.48,56.84,54.58,54.76,56.5,-1.740000000000002,-3.08,129035.98,713401.958,16.152
17,300124.SZ,20200902,57.35,58.24,55.33,56.5,57.28,-0.7800000000000011,-1.36,124893.08,704505.983,16.152
18,300124.SZ,20200901,56.12,57.76,55.49,57.28,55.8,1.4800000000000042,2.65,123308.96,701784.71,16.152
19,300124.SZ,20200831,57.6,57.87,55.0,55.8,57.89,-2.0900000000000034,-3.61,204165.2,1154710.0459999999,16.152
20,300124.SZ,20200828,57.8,58.15,56.5,57.89,58.7,-0.8100000000000023,-1.38,182080.3,1040351.735,16.152
21,300124.SZ,20200827,56.11,60.39,56.1,58.7,56.0,2.700000000000003,4.82,185808.89,1088623.9540000001,16.152
22,300124.SZ,20200826,56.71,57.58,55.76,56.0,57.48,-1.4799999999999969,-2.57,117581.99,662982.29,16.152
23,300124.SZ,20200825,55.7,57.86,55.17,57.48,56.06,1.4199999999999946,2.53,116418.29,663370.017,16.152
24,300124.SZ,20200824,56.4,57.17,53.71,56.06,55.32,0.7400000000000021,1.34,114758.24,638830.721,16.152
25,300124.SZ,20200821,53.86,55.6,53.18,55.32,53.8,1.5200000000000031,2.83,114998.2,628682.4029999999,16.152
26,300124.SZ,20200820,56.3,57.56,53.8,53.8,56.42,-2.6200000000000045,-4.64,150585.65,829314.127,16.152
27,300124.SZ,20200819,55.4,57.73,55.05,56.42,55.64,0.7800000000000011,1.4,151377.88,856798.557,16.152
28,300124.SZ,20200818,55.94,58.2,53.96,55.64,55.47,0.1700000000000017,0.31,224687.6,1245869.535,16.152
29,300124.SZ,20200817,54.48,55.88,53.91,55.47,55.13,0.3399999999999963,0.62,150156.82,821206.1359999998,16.152
30,300124.SZ,20200814,52.31,55.35,52.14,55.13,52.55,2.5800000000000054,4.91,194899.84,1061443.574,16.152
31,300124.SZ,20200813,51.23,52.98,50.53,52.55,50.62,1.93,3.81,127100.91,660078.032,16.152
32,300124.SZ,20200812,52.5,52.73,49.5,50.62,52.89,-2.270000000000003,-4.29,172359.48,874986.1640000001,16.152
33,300124.SZ,20200811,52.46,55.76,52.37,52.89,52.22,0.6700000000000017,1.28,194940.04,1053326.219,16.152
34,300124.SZ,20200810,51.89,53.2,51.11,52.22,51.47,0.75,1.46,117925.13,614389.679,16.152
35,300124.SZ,20200807,51.73,53.28,50.97,51.47,51.73,-0.259999999999998,-0.5,142761.29,743860.824,16.152
36,300124.SZ,20200806,52.74,52.74,49.85,51.73,52.86,-1.1300000000000026,-2.14,166504.98,852663.896,16.152
37,300124.SZ,20200805,52.31,53.15,51.36,52.86,52.2,0.6599999999999966,1.26,138985.13,727310.441,16.152
38,300124.SZ,20200804,53.65,53.67,50.74,52.2,52.9,-0.6999999999999957,-1.32,181049.11,935000.438,16.152
39,300124.SZ,20200803,50.57,53.3,50.2,52.9,50.26,2.640000000000001,5.25,192425.45,1003757.763,16.152
40,300124.SZ,20200731,50.4,51.29,49.15,50.26,49.89,0.36999999999999744,0.74,133766.38,671572.113,16.152
41,300124.SZ,20200730,51.99,52.4,49.56,49.89,51.33,-1.4399999999999975,-2.81,166627.71,839243.663,16.152
42,300124.SZ,20200729,50.1,51.5,49.61,51.33,50.31,1.019999999999996,2.03,166290.16,843804.558,16.152
43,300124.SZ,20200728,48.99,51.64,48.35,50.31,48.3,2.0100000000000047,4.16,186684.62,932249.187,16.152
44,300124.SZ,20200727,48.69,49.28,47.61,48.3,48.69,-0.39000000000000057,-0.8,145700.55,706188.589,16.152
45,300124.SZ,20200724,51.46,52.28,48.01,48.69,52.0,-3.3100000000000023,-6.37,291362.96,1443238.314,16.152
46,300124.SZ,20200723,51.0,52.56,51.0,52.0,51.5,0.5,0.97,148509.66,769785.493,16.152
47,300124.SZ,20200722,52.38,53.3,51.38,51.5,52.33,-0.8299999999999983,-1.59,152123.58,794598.184,16.152
48,300124.SZ,20200721,52.1,53.48,51.03,52.33,52.12,0.21000000000000085,0.4,155643.43,815403.1290000002,16.152
49,300124.SZ,20200720,52.06,53.33,48.56,52.12,50.1,2.019999999999996,4.03,207806.18,1058814.021,16.152
50,300124.SZ,20200717,50.62,51.8,46.5,50.1,50.2,-0.10000000000000142,-0.2,230357.07,1151826.326,16.152
51,300124.SZ,20200716,50.18,53.89,48.8,50.2,50.0,0.20000000000000284,0.4,299487.59,1548802.13,16.152
52,300124.SZ,20200715,50.0,52.1,49.6,50.0,50.02,-0.02000000000000313,-0.04,203941.64,1036227.772,16.152
