,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
0,600893.SH,20200831,44.2,46.3,43.53,44.64,43.89,0.75,1.71,512467.53,2306709.563,3.299
1,600893.SH,20200828,42.49,44.5,41.6,43.89,41.79,2.1000000000000014,5.03,477836.76,2052931.976,3.299
2,600893.SH,20200827,41.65,42.04,40.41,41.79,41.04,0.75,1.83,378847.33,1569766.913,3.299
3,600893.SH,20200826,44.0,44.84,40.8,41.04,43.82,-2.780000000000001,-6.34,617780.85,2601800.265,3.299
4,600893.SH,20200825,46.66,46.97,41.86,43.82,46.51,-2.6899999999999977,-5.78,661296.18,2887225.464,3.299
5,600893.SH,20200824,46.64,47.77,46.21,46.51,46.0,0.509999999999998,1.11,252894.2,1184509.38,3.299
6,600893.SH,20200821,47.17,47.92,45.59,46.0,46.61,-0.6099999999999994,-1.31,303154.58,1409290.12,3.299
7,600893.SH,20200820,47.0,48.69,46.02,46.61,47.9,-1.2899999999999991,-2.69,338792.01,1589408.239,3.299
8,600893.SH,20200819,50.99,51.4,47.61,47.9,51.5,-3.6000000000000014,-6.99,354484.28,1734314.18,3.299
9,600893.SH,20200818,50.31,52.23,50.0,51.5,51.0,0.5,0.98,294357.97,1507811.305,3.299
10,600893.SH,20200817,50.7,51.2,48.5,51.0,49.81,1.1899999999999977,2.39,396083.52,1976522.904,3.299
11,600893.SH,20200814,48.75,51.95,47.88,49.81,49.0,0.8100000000000023,1.65,425538.06,2135554.897,3.299
12,600893.SH,20200813,49.1,50.32,47.81,49.0,47.55,1.4500000000000028,3.05,418923.75,2065943.908,3.299
13,600893.SH,20200812,49.1,49.51,46.01,47.55,51.08,-3.530000000000001,-6.91,609663.58,2918740.555,3.299
14,600893.SH,20200811,50.1,53.26,49.1,51.08,50.12,0.9600000000000009,1.92,638500.86,3274853.772,3.299
15,600893.SH,20200810,53.0,56.33,50.01,50.12,51.21,-1.0900000000000034,-2.13,1116409.1,5988792.822,3.299
16,600893.SH,20200807,46.0,51.21,45.2,51.21,46.55,4.660000000000004,10.01,799529.13,3934021.87,3.299
17,600893.SH,20200806,42.01,46.81,41.87,46.55,42.55,4.0,9.4,789757.9,3545435.907,3.299
18,600893.SH,20200805,39.57,43.55,39.37,42.55,39.59,2.9599999999999937,7.48,645157.1,2703568.079,3.299
19,600893.SH,20200804,41.0,41.18,38.92,39.59,40.56,-0.9699999999999989,-2.39,500767.73,1987836.256,3.299
20,600893.SH,20200803,37.1,40.56,37.1,40.56,36.87,3.690000000000005,10.01,623072.92,2474848.301,3.299
21,600893.SH,20200731,37.24,37.38,35.76,36.87,37.32,-0.45000000000000284,-1.21,367795.05,1343018.821,3.299
22,600893.SH,20200730,37.7,40.1,36.61,37.32,38.04,-0.7199999999999989,-1.89,560062.26,2136615.049,3.299
23,600893.SH,20200729,37.0,38.24,36.5,38.04,37.54,0.5,1.33,497922.84,1860131.825,3.299
24,600893.SH,20200728,35.0,37.88,34.17,37.54,35.31,2.229999999999997,6.32,625230.91,2282002.942,3.299
25,600893.SH,20200727,33.8,36.71,33.33,35.31,34.21,1.1000000000000014,3.22,582581.56,2047813.128,3.299
26,600893.SH,20200724,34.94,37.12,33.6,34.21,34.41,-0.19999999999999574,-0.58,779643.92,2779005.483,3.299
27,600893.SH,20200723,33.0,35.45,32.29,34.41,32.34,2.069999999999993,6.4,648322.24,2197960.828,3.299
28,600893.SH,20200722,31.41,33.84,31.33,32.34,31.92,0.4200000000000017,1.32,404549.95,1326201.757,3.299
29,600893.SH,20200721,33.9,33.9,31.85,31.92,33.89,-1.9699999999999989,-5.81,508302.23,1647685.673,3.299
30,600893.SH,20200720,31.7,33.89,31.41,33.89,30.81,3.080000000000002,10.0,597965.69,1977280.275,3.299
31,600893.SH,20200717,29.99,32.1,29.86,30.81,29.82,0.9899999999999984,3.32,425211.36,1316365.538,3.299
32,600893.SH,20200716,31.3,31.87,29.74,29.82,31.15,-1.3299999999999983,-4.27,304589.52,940083.907,3.299
33,600893.SH,20200715,32.61,32.99,30.69,31.15,32.46,-1.3100000000000023,-4.04,433385.69,1370665.253,3.299
34,600893.SH,20200714,31.86,34.25,31.71,32.46,32.36,0.10000000000000142,0.31,531466.03,1757923.567,3.285
35,600893.SH,20200713,32.01,32.76,31.32,32.36,32.06,0.29999999999999716,0.94,563140.88,1817602.367,3.285
36,600893.SH,20200710,33.36,34.59,31.73,32.06,32.78,-0.7199999999999989,-2.2,881379.39,2934426.381,3.285
37,600893.SH,20200709,32.71,32.78,31.67,32.78,29.8,2.9800000000000004,10.0,752960.77,2457418.585,3.285
38,600893.SH,20200708,26.94,29.8,26.93,29.8,27.09,2.710000000000001,10.0,531877.84,1530045.449,3.285
39,600893.SH,20200707,26.39,27.95,25.95,27.09,26.08,1.0100000000000016,3.87,482492.53,1323363.894,3.285
40,600893.SH,20200706,24.69,26.34,24.61,26.08,24.3,1.7799999999999976,7.33,381132.19,979221.579,3.285
41,600893.SH,20200703,24.18,24.71,24.0,24.3,24.1,0.1999999999999993,0.83,196039.65,478637.566,3.285
42,600893.SH,20200702,23.67,24.16,23.54,24.1,23.79,0.3100000000000023,1.3,154996.66,370912.622,3.285
43,600893.SH,20200701,23.41,23.92,23.23,23.79,23.38,0.41000000000000014,1.75,143424.15,338321.815,3.285
44,600893.SH,20200630,23.58,23.58,23.2,23.38,23.46,-0.08000000000000185,-0.34,98575.32,231361.609,3.285
45,600893.SH,20200629,23.19,24.05,23.06,23.46,23.25,0.21000000000000085,0.9,118874.71,281486.872,3.285
46,600893.SH,20200624,23.5,23.5,23.12,23.25,23.55,-0.3000000000000007,-1.27,72343.84,168895.908,3.285
47,600893.SH,20200623,23.45,23.58,23.28,23.55,23.38,0.1700000000000017,0.73,91043.61,214612.769,3.285
48,600893.SH,20200622,23.1,23.47,23.06,23.38,23.0,0.379999999999999,1.65,88188.18,206581.555,3.285
49,600893.SH,20200619,22.8,23.11,22.8,23.0,22.87,0.129999999999999,0.57,86898.64,200675.466,3.285
50,600893.SH,20200618,23.03,23.11,22.73,22.87,23.3,-0.4299999999999997,-1.85,87270.01,200583.098,3.285
51,600893.SH,20200617,23.18,23.67,23.15,23.3,22.92,0.379999999999999,1.66,113015.81,264921.59,3.285
52,600893.SH,20200616,22.78,22.97,22.72,22.92,22.6,0.3200000000000003,1.42,60882.61,139816.913,3.285
53,600893.SH,20200615,22.93,23.11,22.59,22.6,23.2,-0.5999999999999979,-2.59,113842.36,260880.187,3.285
54,600893.SH,20200612,22.8,23.25,22.75,23.2,23.18,0.019999999999999574,0.09,97642.11,225898.747,3.285
55,600893.SH,20200611,23.4,23.67,23.0,23.18,23.29,-0.10999999999999943,-0.47,101186.35,236972.838,3.285
56,600893.SH,20200610,23.34,23.47,23.08,23.29,23.32,-0.030000000000001137,-0.13,76397.91,178593.915,3.285
57,600893.SH,20200609,23.48,23.55,23.1,23.32,23.45,-0.129999999999999,-0.55,98313.53,229791.924,3.285
