date,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,ema100,ema_score_ma100,t1open,t1_ret_on_t1open,t2_ret_on_t1open,t3_ret_on_t1open,t4_ret_on_t1open,t5_ret_on_t1open,t6_ret_on_t1open,t7_ret_on_t1open,t8_ret_on_t1open,t9_ret_on_t1open
1/5/2015,601318.SH,20150105,34.58,35.02,33.44,33.85,33.2,0.65,1.96,2435717.73,18752043.27,1.088,,0,33.06,-0.877192982,-1.300665457,-4.44646098,-2.087114338,1.058681186,0.998185118,-0.725952813,6.019358742,5.263157895
1/6/2015,601318.SH,20150106,33.06,34.12,32,32.77,33.85,-1.08,-3.19,2342279.69,17438633.73,1.088,,0,32.58,0.153468386,-3.038674033,-0.644567219,2.5475752,2.486187845,0.73664825,7.581338244,6.813996317,-3.867403315
1/7/2015,601318.SH,20150107,32.58,33.56,32.22,32.63,32.77,-0.14,-0.43,1703868.84,12565953.44,1.088,,0,33.11,-4.590758079,-2.234974328,0.906070674,0.845665962,-0.875868318,5.859257022,5.104198127,-5.406221685,-5.194805195
1/8/2015,601318.SH,20150108,33.11,33.3,31.47,31.59,32.63,-1.04,-3.19,1788809.15,12883821.15,1.088,,0,31.64,2.307206068,5.594184576,5.530973451,3.729456384,10.77749684,9.987357775,-1.011378003,-0.790139064,8.659924147
1/9/2015,601318.SH,20150109,31.64,34.75,31.43,32.37,31.59,0.78,2.47,3118734.02,23164177.52,1.088,,0,32.88,1.611922141,1.551094891,-0.182481752,6.599756691,5.839416058,-4.744525547,-4.53163017,4.562043796,2.00729927
1/12/2015,601318.SH,20150112,32.88,33.88,32.13,33.41,32.37,1.04,3.21,2656271.45,19758885.62,1.088,,0,33.47,-0.239020018,-1.942037646,4.720645354,3.973707798,-6.423662982,-6.214520466,2.718852704,0.209142516,1.971915148
1/13/2015,601318.SH,20150113,33.47,34.21,32.89,33.39,33.41,-0.02,-0.06,1509243.55,11390279.64,1.088,,0,33.45,-1.883408072,4.783258595,4.035874439,-6.367713004,-6.158445441,2.780269058,0.269058296,2.032884903,0.448430493
1/14/2015,601318.SH,20150114,33.45,33.72,32.48,32.82,33.39,-0.57,-1.71,1459105.72,10853946.88,1.088,,0,32.89,6.567345698,5.807236242,-4.773487382,-4.560656735,4.530252356,1.976284585,3.770142901,2.158710854,-0.060808756
1/15/2015,601318.SH,20150115,32.89,35.31,32.76,35.05,32.82,2.23,6.79,2579037.86,19788348.28,1.088,,0,35.29,-1.388495324,-11.24964579,-11.05128932,-2.578634174,-4.958911873,-3.287050156,-4.788892037,-6.857466704,-8.954378011
1/16/2015,601318.SH,20150116,35.29,36.18,34.63,34.8,35.05,-0.25,-0.71,2317508.63,18476457.25,1.088,,0,31.32,0,0.223499361,9.770114943,7.088122605,8.971902937,7.279693487,4.948914432,2.586206897,0.127713921
1/19/2015,601318.SH,20150119,31.32,32.64,31.32,31.32,34.8,-3.48,-10,2900349.45,20841210.41,1.088,,0,31.24,0.480153649,10.05121639,7.362355954,9.250960307,7.554417414,5.217669654,2.848911652,0.384122919,-1.408450704
1/20/2015,601318.SH,20150120,31.24,32.05,30.44,31.39,31.32,0.07,0.22,2651163.92,18667133.6,1.088,,0,31.69,8.488482171,5.837803724,7.699589776,6.027137898,3.723572105,1.388450615,-1.041337962,-2.808456926,-7.131587251
1/21/2015,601318.SH,20150121,31.69,34.47,31.6,34.38,31.39,2.99,9.53,2925800.7,21775561.34,1.088,,0,34.35,-2.358078603,-0.640465793,-2.183406114,-4.308588064,-6.462882096,-8.704512373,-10.33478894,-14.3231441,-10.62590975
1/22/2015,601318.SH,20150122,34.35,34.53,33.12,33.54,34.38,-0.84,-2.44,2147044.23,16325804.07,1.088,,0,33.78,1.036116045,-0.53285968,-2.693901717,-4.884547069,-7.164002368,-8.82178804,-12.87744227,-9.117821196,-11.19005329
1/23/2015,601318.SH,20150123,33.78,35.38,33.55,34.13,33.54,0.59,1.76,2343732.07,18082145.69,1.088,,0,33.91,-0.914184606,-3.066941905,-5.24918903,-7.519905633,-9.171335889,-13.21144205,-9.466234149,-11.53052197,-13.56531996
1/26/2015,601318.SH,20150126,33.91,33.97,33.2,33.6,34.13,-0.53,-1.55,1388606.35,10484377.18,1.088,,0,33.83,-2.837718002,-5.025125628,-7.301211942,-8.956547443,-13.00620751,-9.252143068,-11.32131244,-13.36092226,-12.88796926
1/27/2015,601318.SH,20150127,33.83,34.42,31.92,32.87,33.6,-0.73,-2.17,2185606.05,16231932.24,1.088,,0,32.4,-0.833333333,-3.209876543,-4.938271605,-9.166666667,-5.24691358,-7.407407407,-9.537037037,-9.043209877,-6.728395062
